Cell #,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9
Cell 1343,0.007559,0.356527,0.505678,0.125951,0.004285,0,0,0,0
Cell 1344,0.020994,0.113894,0.668152,0.173545,0.023415,0,0,0,0
Cell 1345,0,0,0.000001,0.000747,0.006327,0.096865,0.2529,0.495226,0.147934
Cell 1346,0.000139,0.059459,0.547134,0.360091,0.032935,0.000241,0,0,0
Cell 1347,0,0.000013,0.002395,0.433718,0.499659,0.064215,0,0,0
Cell 1348,0.000624,0.147361,0.521602,0.318536,0.011875,0.000002,0,0,0
Cell 1349,0,0.000093,0.006095,0.355724,0.605367,0.03272,0,0,0
Cell 1350,0,0,0.000006,0.001531,0.015364,0.120737,0.38837,0.347483,0.126511
Cell 1351,0.000235,0.060118,0.364638,0.421279,0.149391,0.004329,0.000011,0,0
Cell 1352,0,0.000011,0.001884,0.045748,0.269421,0.375011,0.22987,0.0554,0.022654
Cell 1353,0,0,0.000002,0.000588,0.007751,0.115728,0.365851,0.400264,0.109817
Cell 1354,0.642249,0.357145,0.000342,0.000257,0.000005,0.000002,0,0,0
Cell 1355,0.116986,0.578817,0.286159,0.017563,0.000475,0,0,0,0
Cell 1356,0,0.000005,0.00316,0.256022,0.622488,0.118324,0,0,0
Cell 1357,0,0,0.000002,0.001128,0.010161,0.112921,0.44371,0.314424,0.117654
Cell 1358,0,0,0,0.00048,0.005375,0.053239,0.278838,0.50996,0.152108
Cell 1359,0,0.000235,0.03163,0.504696,0.438213,0.025227,0,0,0
Cell 1360,0.236193,0.387073,0.257583,0.092256,0.015653,0.011165,0.000078,0,0
Cell 1361,0.000312,0.058396,0.46054,0.435167,0.045546,0.000039,0,0,0
Cell 1362,0.001773,0.150825,0.614725,0.216605,0.01606,0.000011,0,0,0
Cell 1363,0.000167,0.006915,0.049676,0.137995,0.095753,0.598264,0.110069,0.000645,0.000515
Cell 1364,0.041297,0.716297,0.2337,0.008467,0.000237,0.000002,0,0,0
Cell 1365,0.016347,0.292282,0.486788,0.181532,0.019339,0.003665,0.000046,0,0
Cell 1366,0.001135,0.126643,0.612176,0.242901,0.017041,0.000104,0,0,0
Cell 1367,0,0.000001,0.002029,0.300602,0.669755,0.027613,0,0,0
Cell 1368,0,0.000004,0.001657,0.318522,0.647468,0.032349,0,0,0
Cell 1369,0,0,0,0.000009,0.000229,0.009245,0.164667,0.732824,0.093026
Cell 1370,0.002562,0.256576,0.549998,0.183914,0.00695,0.000001,0,0,0
Cell 1371,0,0,0.000007,0.001348,0.016374,0.088004,0.310956,0.360413,0.222899
Cell 1372,0,0.000013,0.003985,0.316396,0.556242,0.123364,0,0,0
Cell 1373,0.000087,0.078842,0.424619,0.390883,0.103389,0.002178,0.000002,0,0
Cell 1374,0,0,0.000003,0.001835,0.017369,0.143118,0.442255,0.299811,0.095608
Cell 1375,0.001608,0.156606,0.656452,0.164788,0.019888,0.000658,0,0,0
Cell 1376,0,0.001824,0.10348,0.432947,0.452943,0.008805,0,0,0
Cell 1377,0,0.000013,0.001503,0.047871,0.18327,0.331877,0.317643,0.117823,0
Cell 1378,0,0,0,0.000192,0.002728,0.068261,0.475444,0.409402,0.043973
Cell 1379,0.005282,0.321023,0.55117,0.117527,0.004997,0,0,0,0
Cell 1380,0,0.000006,0.001523,0.049201,0.287518,0.270534,0.271284,0.075995,0.043938
Cell 1381,0.006749,0.301785,0.545631,0.139438,0.006396,0.000001,0,0,0
Cell 1382,0,0,0.001101,0.320901,0.649272,0.028726,0,0,0
Cell 1383,0,0.000508,0.06051,0.480106,0.449193,0.009681,0,0,0
Cell 1384,0.001296,0.130929,0.556412,0.291606,0.01975,0.000007,0,0,0
Cell 1385,0,0.000513,0.016141,0.197777,0.288693,0.36257,0.120577,0.01369,0.000038
Cell 1386,0.000007,0.042478,0.655786,0.238211,0.063518,0,0,0,0
Cell 1387,0,0,0.000008,0.002522,0.022145,0.098131,0.30778,0.258061,0.311353
Cell 1388,0,0.000089,0.012594,0.343845,0.625513,0.01796,0,0,0
Cell 1389,0.003034,0.15382,0.567587,0.257426,0.01813,0.000002,0,0,0
Cell 1390,0.002382,0.300133,0.630242,0.062936,0.004306,0,0,0,0
Cell 1391,0.000003,0.000108,0.001326,0.024546,0.090494,0.590356,0.268136,0.006493,0.018538
Cell 1392,0,0.000014,0.003261,0.057159,0.260962,0.321413,0.273233,0.083852,0.000105
Cell 1393,0.007103,0.399681,0.509189,0.08112,0.002906,0.000001,0,0,0
Cell 1394,0.000363,0.110867,0.505819,0.31118,0.070878,0.000892,0.000002,0,0
Cell 1395,0.00002,0.03179,0.444276,0.412493,0.111406,0.000015,0,0,0
Cell 1396,0,0.000005,0.002293,0.24028,0.746707,0.010716,0,0,0
Cell 1397,0,0.000176,0.017056,0.24289,0.391815,0.348063,0,0,0
Cell 1398,0,0,0,0.000191,0.004522,0.057592,0.322193,0.459597,0.155905
Cell 1399,0.136147,0.633769,0.224182,0.00525,0.000569,0.000084,0,0,0
Cell 1400,0.001536,0.286821,0.613223,0.092104,0.006313,0.000002,0,0,0
Cell 1401,0,0,0.000119,0.145113,0.631246,0.223522,0,0,0
Cell 1402,0,0,0.000039,0.004658,0.059129,0.237529,0.493508,0.147507,0.05763
Cell 1403,0,0,0.000001,0.000454,0.005988,0.057937,0.281594,0.467521,0.186506
Cell 1404,0.001155,0.201044,0.606433,0.158352,0.032651,0.000366,0,0,0
Cell 1405,0,0,0,0.000083,0.001161,0.037831,0.408678,0.466208,0.086039
Cell 1406,0.097389,0.570479,0.30725,0.024331,0.000551,0,0,0,0
Cell 1407,0,0.003286,0.106588,0.555549,0.33118,0.003398,0,0,0
Cell 1408,0.318828,0.567842,0.112742,0.000575,0.00001,0.000003,0,0,0
Cell 1409,0.923664,0.072609,0.002845,0.000604,0.000278,0,0,0,0
Cell 1410,0.025482,0.030498,0.05085,0.184094,0.038564,0.670513,0,0,0
Cell 1411,0,0,0.000029,0.003267,0.024406,0.183708,0.470964,0.221518,0.096108
Cell 1412,0.94576,0.030537,0.021184,0.002336,0.000125,0.000058,0,0,0
Cell 1413,0,0.0002,0.013935,0.14904,0.400666,0.260809,0.163414,0.011837,0.000098
Cell 1414,0,0.000002,0.001155,0.233683,0.746835,0.018326,0,0,0
Cell 1415,0.007837,0.279581,0.637346,0.070045,0.00502,0.000171,0,0,0
